,dteday,cnt
104,2012-06-28,6879
105,2012-03-22,6871
106,2012-09-17,6869
107,2012-09-04,6864
108,2012-07-26,6861
109,2012-04-07,6857
110,2012-05-30,6855
111,2012-11-11,6852
112,2012-07-16,6830
113,2012-06-19,6825
114,2012-10-21,6824
115,2012-08-04,6824
116,2012-07-17,6786
117,2012-08-14,6784
118,2012-06-25,6779
119,2012-10-01,6778
120,2012-04-03,6772
121,2012-05-24,6770
122,2012-05-25,6734
123,2012-04-17,6691
124,2012-07-28,6685
125,2012-06-11,6664
126,2012-07-03,6660
127,2012-10-14,6639
128,2012-04-21,6624
129,2012-12-04,6606
130,2012-06-10,6598
131,2012-07-29,6597
132,2012-07-19,6591
133,2012-05-27,6591
134,2012-05-10,6572
135,2012-07-09,6569
136,2012-04-19,6565
137,2012-08-12,6544
138,2012-05-26,6536
139,2012-11-10,6536
140,2012-08-20,6530
141,2012-04-06,6460
142,2012-04-05,6457
143,2012-04-04,6436
144,2012-05-03,6421
145,2012-04-13,6398
146,2012-10-09,6392
147,2012-04-16,6370
148,2012-05-06,6359
149,2012-03-14,6312
150,2012-04-29,6304
151,2012-08-11,6299
152,2012-05-04,6296
153,2012-07-10,6290
154,2012-05-07,6273
155,2012-11-12,6269
156,2012-07-05,6241
157,2012-03-31,6235
158,2012-12-03,6234
159,2012-04-27,6233
160,2012-03-21,6230
161,2012-07-02,6227
162,2012-06-20,6211
163,2012-07-06,6207
164,2012-09-06,6203
165,2012-04-25,6196
166,2012-03-15,6192
167,2012-05-02,6169
168,2012-03-19,6153
169,2012-09-01,6140
170,2012-03-29,6133
171,2012-05-13,6118
172,2012-03-20,6093
173,2012-05-22,6073
174,2012-08-25,6053
175,2012-05-28,6043
176,2011-07-04,6043
177,2012-04-01,6041
178,2012-09-03,6034
179,2012-07-15,6031
180,2012-11-09,5992
181,2012-11-01,5986
182,2012-09-08,5976
183,2012-04-02,5936
184,2011-07-16,5923
185,2012-04-10,5918
186,2012-06-21,5905
187,2011-08-23,5895
188,2012-03-18,5892
189,2012-10-15,5875
190,2012-07-20,5870
191,2012-03-13,5847
192,2012-11-02,5847
193,2012-06-22,5823
194,2012-09-02,5810
195,2011-05-21,5805
196,2012-08-10,5786
197,2012-05-29,5743
198,2012-05-01,5740
199,2012-12-05,5729
200,2012-05-08,5728
201,2012-07-18,5713
202,2012-11-16,5698
203,2012-03-28,5698
204,2012-06-30,5687
205,2012-11-06,5686
206,2012-11-30,5668
207,2012-11-20,5634
208,2012-04-24,5633
209,2012-11-17,5629
210,2012-12-14,5611
211,2012-04-09,5585
212,2012-12-08,5582
213,2012-04-30,5572
214,2012-10-31,5566
215,2012-03-26,5558
216,2012-12-18,5557
217,2011-07-15,5538
218,2012-12-13,5532
219,2012-07-01,5531
220,2011-06-30,5515
221,2011-10-09,5511
222,2012-12-11,5501
223,2012-11-19,5499
224,2012-11-14,5495
225,2012-10-08,5478
226,2012-08-05,5464
227,2012-06-29,5463
228,2012-03-30,5459
229,2012-11-15,5445
230,2012-10-19,5424
231,2011-09-24,5423
232,2011-10-08,5409
233,2012-04-12,5409
234,2012-03-08,5382
235,2012-12-06,5375
236,2011-07-01,5362
237,2011-09-10,5345
238,2011-06-04,5342
239,2011-07-09,5336
240,2012-11-29,5323
241,2012-12-12,5319
242,2012-11-08,5315
243,2011-04-30,5312
244,2011-06-03,5312
245,2011-06-26,5305
246,2011-07-17,5302
247,2012-03-12,5298
248,2012-12-19,5267
249,2012-11-28,5260
250,2012-05-23,5260
251,2012-11-05,5259
252,2012-08-26,5255
253,2011-06-29,5225
254,2011-10-15,5217
255,2011-08-30,5204
256,2011-09-30,5202
257,2011-06-25,5202
258,2012-12-01,5191
259,2011-08-20,5191
260,2011-06-15,5180
261,2012-12-10,5170
262,2012-04-08,5169
263,2012-11-21,5146
264,2012-11-03,5138
265,2011-08-24,5130
266,2011-07-02,5119
267,2011-06-18,5119
268,2011-10-10,5117
269,2012-05-15,5115
270,2011-09-01,5115
271,2012-11-04,5107
272,2012-03-27,5102
273,2012-06-18,5099
274,2012-11-26,5087
275,2011-07-14,5084
276,2012-02-23,5062
277,2011-08-31,5058
278,2012-12-15,5047
279,2011-09-11,5046
280,2011-10-16,5041
281,2012-11-07,5035
282,2012-04-26,5026
283,2011-06-13,5020
284,2011-09-25,5010
285,2012-12-07,5008
286,2012-03-25,4996
287,2011-06-24,4991
288,2012-03-01,4990
289,2011-10-07,4985
290,2011-05-25,4978
291,2012-06-12,4972
292,2011-06-02,4968
293,2011-06-11,4966
294,2011-09-04,4940
295,2011-05-20,4917
296,2012-03-07,4916
297,2012-03-11,4911
298,2011-06-05,4906
299,2011-08-12,4905
300,2011-06-14,4891
301,2011-07-10,4881
302,2011-08-05,4866
303,2011-05-12,4864
304,2012-04-11,4862
305,2011-08-02,4845
306,2011-06-17,4844
307,2012-07-07,4840
308,2011-09-29,4839
309,2011-06-21,4835
310,2011-06-07,4833
311,2011-10-05,4826
312,2011-05-10,4803
313,2011-09-22,4795
314,2011-08-11,4792
315,2011-06-23,4790
316,2011-05-29,4788
317,2011-09-14,4785
318,2011-08-10,4780
319,2012-02-22,4773
320,2011-10-06,4765
321,2011-09-13,4763
322,2011-09-16,4760
323,2011-08-22,4758
324,2011-05-28,4758
325,2011-10-18,4748
326,2011-06-19,4744
327,2011-09-02,4727
328,2011-08-16,4725
329,2012-05-09,4717
330,2011-05-07,4714
331,2011-09-12,4713
332,2011-06-27,4708
333,2011-08-17,4694
334,2011-10-25,4687
335,2011-05-27,4679
336,2011-05-26,4677
337,2012-07-08,4672
338,2012-11-18,4669
339,2011-07-05,4665
340,2011-08-26,4661
341,2011-05-22,4660
342,2011-07-27,4656
343,2011-07-03,4649
344,2012-12-02,4649
345,2011-06-28,4648
346,2012-10-02,4639
347,2011-08-29,4634
348,2011-09-26,4630
349,2011-07-06,4629
350,2011-05-06,4608
351,2011-08-09,4602
352,2011-04-29,4595
353,2011-07-07,4592
354,2011-07-26,4590
355,2011-06-10,4586
356,2012-12-17,4585
357,2012-02-01,4579
358,2011-08-04,4576
359,2011-05-19,4575
360,2011-10-17,4570
361,2012-03-09,4569
362,2011-10-11,4563
363,2011-05-15,4553
364,2012-08-19,4549
365,2011-06-06,4548
366,2011-07-19,4541
367,2011-09-19,4539
368,2012-01-07,4521
369,2011-09-17,4511
370,2012-01-31,4509
371,2011-06-22,4507
372,2011-05-24,4492
373,2011-11-14,4486
374,2011-09-03,4484
375,2011-07-30,4475
376,2011-06-12,4460
377,2012-10-28,4459
378,2012-07-21,4459
379,2011-07-18,4458
380,2011-10-04,4456
381,2011-05-03,4451
382,2011-05-05,4433
383,2011-05-02,4401
384,2011-06-08,4401
385,2011-04-26,4400
386,2011-07-28,4390
387,2011-10-23,4381
388,2012-03-16,4378
389,2012-02-07,4375
390,2012-04-18,4367
391,2012-02-28,4363
392,2011-05-09,4362
393,2012-05-21,4359
394,2011-09-21,4352
395,2011-07-13,4342
396,2012-01-24,4339
397,2011-08-15,4338
398,2011-08-28,4334
399,2011-05-08,4333
400,2011-07-20,4332
401,2011-08-08,4326
402,2012-02-27,4322
403,2012-02-18,4318
404,2011-10-22,4308
405,2011-10-21,4304
406,2011-07-31,4302
407,2011-08-06,4294
408,2011-05-23,4274
409,2011-09-18,4274
410,2012-01-25,4270
411,2011-08-01,4266
412,2011-07-12,4258
413,2012-04-28,4220
414,2011-11-08,4205
415,2011-10-20,4195
416,2011-11-15,4195
417,2011-04-24,4191
418,2011-04-21,4189
419,2011-10-24,4187
420,2011-11-02,4186
421,2011-05-11,4182
422,2012-02-15,4169
423,2012-02-17,4154
424,2011-08-19,4153
425,2012-02-03,4151
426,2011-08-13,4150
427,2012-12-20,4128
428,2012-06-01,4127
429,2011-05-17,4123
430,2011-09-27,4120
431,2012-03-10,4118
432,2011-11-09,4109
433,2011-05-13,4105
434,2011-05-30,4098
435,2012-01-06,4098
436,2012-01-12,4097
437,2012-11-13,4094
438,2011-07-11,4086
439,2012-01-26,4075
440,2012-09-18,4073
441,2011-04-25,4073
442,2011-11-01,4068
443,2011-11-12,4067
444,2012-03-03,4066
445,2011-04-28,4058
446,2011-11-04,4046
447,2011-07-08,4040
448,2011-04-23,4036
449,2011-11-07,4035
450,2012-01-28,4023
451,2011-06-20,4010
452,2011-05-31,3982
453,2011-06-01,3974
454,2011-11-03,3974
455,2012-11-27,3959
456,2011-05-16,3958
457,2012-03-06,3956
458,2011-04-20,3944
459,2011-12-02,3940
460,2011-11-05,3926
461,2012-02-14,3922
462,2011-06-09,3915
463,2012-11-23,3910
464,2011-09-28,3907
465,2011-10-26,3894
466,2011-08-21,3873
467,2011-04-27,3872
468,2011-11-28,3867
469,2011-05-18,3855
470,2011-07-29,3846
471,2011-07-25,3840
472,2012-02-10,3831
473,2012-02-09,3830
474,2011-08-14,3820
475,2011-12-05,3811
476,2011-08-18,3805
477,2012-12-16,3786
478,2011-08-07,3785
479,2012-02-06,3784
480,2011-07-21,3784
481,2012-02-21,3777
482,2011-06-16,3767
483,2012-02-02,3761
484,2011-12-20,3750
485,2011-10-28,3747
486,2011-04-17,3744
487,2011-12-14,3740
488,2011-12-01,3727
489,2011-11-13,3717
490,2011-12-15,3709
491,2011-10-31,3669
492,2011-11-19,3663
493,2011-09-15,3659
494,2011-11-06,3649
495,2011-10-14,3644
496,2011-09-20,3641
497,2012-01-30,3624
498,2012-12-21,3623
499,2011-12-09,3620
500,2011-12-03,3614
501,2011-11-30,3613
502,2011-07-24,3606
503,2012-01-10,3598
504,2011-12-16,3577
505,2011-08-03,3574
506,2011-10-03,3570
507,2011-09-09,3544
508,2011-08-25,3542
509,2011-12-13,3523
510,2011-11-20,3520
511,2012-10-07,3510
512,2012-02-24,3487
513,2011-12-04,3485
514,2012-01-27,3456
515,2011-04-18,3429
516,2012-01-08,3425
517,2012-03-04,3423
518,2012-02-13,3422
519,2011-05-14,3409
520,2011-12-19,3403
521,2011-11-18,3392
522,2012-02-26,3389
523,2011-07-22,3387
524,2012-01-18,3376
525,2012-03-24,3372
526,2011-11-11,3368
527,2011-05-01,3351
528,2011-09-05,3351
529,2011-04-11,3348
530,2012-03-05,3333
531,2011-10-30,3331
532,2011-12-08,3322
533,2011-12-12,3310
534,2012-01-19,3292
535,2011-07-23,3285
536,2012-01-05,3272
537,2011-04-14,3267
538,2011-04-03,3249
539,2012-01-29,3243
540,2011-03-18,3239
541,2012-12-09,3228
542,2012-01-13,3214
543,2012-04-23,3214
544,2011-04-19,3204
545,2012-03-02,3194
546,2011-12-10,3190
547,2012-01-20,3163
548,2011-04-07,3141
549,2012-02-20,3129
550,2011-04-15,3126
551,2011-03-19,3117
552,2011-04-04,3115
553,2012-12-28,3095
554,2011-11-27,3071
555,2011-11-26,3068
556,2011-12-22,3068
557,2011-11-17,3053
558,2012-02-16,3005
559,2011-12-30,2999
560,2012-02-05,2947
561,2012-01-17,2935
562,2011-11-10,2933
563,2011-02-18,2927
564,2011-10-02,2918
565,2011-11-29,2914
566,2011-10-13,2913
567,2011-04-10,2895
568,2012-05-14,2843
569,2012-02-04,2832
570,2011-04-06,2808
571,2012-02-08,2802
572,2011-11-25,2792
573,2011-11-21,2765
574,2011-03-17,2744
575,2011-12-11,2743
576,2011-12-17,2739
577,2012-02-25,2732
578,2012-12-31,2729
579,2011-09-06,2710
580,2011-03-22,2703
581,2012-02-19,2689
582,2011-12-21,2660
583,2011-10-27,2659
584,2011-05-04,2633
585,2011-12-06,2594
586,2011-11-23,2566
587,2011-03-26,2496
588,2012-01-14,2493
589,2011-12-31,2485
590,2011-02-17,2475
591,2011-03-20,2471
592,2011-04-09,2455
593,2012-01-23,2432
594,2011-12-18,2431
595,2011-10-01,2429
596,2012-11-22,2425
597,2011-03-29,2425
598,2011-10-19,2424
599,2012-11-25,2424
600,2011-12-29,2423
601,2011-03-13,2417
602,2011-10-12,2416
603,2011-02-27,2402
604,2011-09-23,2395
605,2012-01-09,2376
606,2012-01-04,2368
607,2012-01-15,2311
608,2011-12-28,2302
609,2012-01-16,2298
610,2012-01-01,2294
611,2012-11-24,2277
612,2011-04-02,2252
613,2012-01-03,2236
614,2011-04-01,2227
615,2011-03-25,2210
616,2011-12-23,2209
617,2011-03-16,2192
618,2012-01-11,2177
619,2012-02-11,2169
620,2011-04-13,2162
621,2011-03-02,2134
622,2011-03-08,2133
623,2011-03-12,2132
624,2011-03-23,2121
625,2011-02-16,2115
626,2012-12-27,2114
627,2011-03-05,2077
628,2011-03-21,2077
629,2011-03-15,2056
630,2011-03-14,2046
631,2011-04-12,2034
632,2011-03-28,2028
633,2011-09-07,1996
634,2011-01-25,1985
635,2011-03-11,1977
636,2012-01-22,1977
637,2011-02-26,1969
638,2012-01-02,1951
639,2011-03-04,1944
640,2011-01-20,1927
641,2011-02-23,1917
642,2011-02-14,1913
643,2011-03-09,1891
644,2011-03-07,1872
645,2011-03-24,1865
646,2011-03-01,1851
647,2011-09-08,1842
648,2012-02-29,1834
649,2011-11-16,1817
650,2011-02-15,1815
651,2011-02-20,1812
652,2011-02-24,1807
653,2012-12-30,1796
654,2011-04-05,1795
655,2012-12-23,1787
656,2012-12-22,1749
657,2011-02-11,1746
658,2011-02-07,1712
659,2011-02-04,1708
660,2011-03-27,1693
661,2011-03-03,1685
662,2011-03-31,1685
663,2011-04-22,1683
664,2011-01-19,1650
665,2011-02-19,1635
666,2011-02-06,1623
667,2011-11-22,1607
668,2011-01-06,1606
669,2011-02-09,1605
670,2011-01-05,1600
671,2011-02-13,1589
672,2011-01-04,1562
673,2011-02-03,1550
674,2011-01-21,1543
675,2011-02-10,1538
676,2011-03-30,1536
677,2011-02-08,1530
678,2012-02-12,1529
679,2011-02-02,1526
680,2011-01-07,1510
681,2011-01-31,1501
682,2011-11-24,1495
683,2011-02-12,1472
684,2011-04-08,1471
685,2011-02-25,1461
686,2011-02-22,1450
687,2011-02-28,1446
688,2011-01-14,1421
689,2011-01-24,1416
690,2011-01-13,1406
691,2011-02-01,1360
692,2011-01-03,1349
693,2012-12-29,1341
694,2011-01-10,1321
695,2011-12-26,1317
696,2012-01-21,1301
697,2011-01-11,1263
698,2011-01-15,1248
699,2011-01-16,1204
700,2011-01-28,1167
701,2011-12-27,1162
702,2011-01-12,1162
703,2011-08-27,1115
704,2011-02-21,1107
705,2011-01-29,1098
706,2011-01-30,1096
707,2012-10-30,1096
708,2012-04-22,1027
709,2012-12-25,1013
710,2011-12-24,1011
711,2011-02-05,1005
712,2011-01-17,1000
713,2011-01-23,986
714,2011-01-01,985
715,2011-01-22,981
716,2011-01-08,959
717,2012-12-24,920
718,2011-01-09,822
719,2011-01-02,801
720,2011-04-16,795
721,2011-12-25,754
722,2011-12-07,705
723,2011-01-18,683
724,2011-10-29,627
725,2011-03-10,623
726,2011-03-06,605
727,2011-01-26,506
728,2012-12-26,441
729,2011-01-27,431
730,2012-10-29,22
